entry,at,order
"The player ""Jared @ h0BlfhuN9N"" quits the game with a stack of 48.03.",2022-01-24T10:39:39.510Z,164302077951001
"The player ""#1 Zach @ vAnWuTY_FS"" quits the game with a stack of 7.70.",2022-01-24T10:39:39.510Z,164302077951000
"-- ending hand #163 --",2022-01-24T10:39:36.506Z,164302077650602
"""Aidan @ Cjnby_nuhl"" collected 63.34 from pot with A High (combination: A♥, K♠, Q♥, J♦, 7♦)",2022-01-24T10:39:36.506Z,164302077650601
"""aron @ XNSdXZIPm0"" collected 62.65 from pot with Flush, Ad High (combination: A♦, J♦, 5♦, 4♦, 2♦)",2022-01-24T10:39:36.506Z,164302077650600
"River: 5♦, Q♥, 2♦, A♥ [J♦]",2022-01-24T10:39:32.410Z,164302077241000
"Turn: 5♦, Q♥, 2♦ [A♥]",2022-01-24T10:39:28.404Z,164302076840400
"Flop:  [5♦, Q♥, 2♦]",2022-01-24T10:39:24.401Z,164302076440100
"""aron @ XNSdXZIPm0"" shows a A♦, 4♦.",2022-01-24T10:39:20.294Z,164302076029402
"""Sam @ QR-4gITocS"" shows a 9♥, 3♦.",2022-01-24T10:39:20.294Z,164302076029401
"""Aidan @ Cjnby_nuhl"" shows a 7♦, K♠.",2022-01-24T10:39:20.294Z,164302076029400
"Some players choose to not run it twice.",2022-01-24T10:39:19.344Z,164302075934401
"""Aidan @ Cjnby_nuhl"" chooses to not run it twice.",2022-01-24T10:39:19.344Z,164302075934400
"Remaining players decide whether to run it twice.",2022-01-24T10:39:17.931Z,164302075793101
"""Aidan @ Cjnby_nuhl"" calls 52.52 and go all in",2022-01-24T10:39:17.931Z,164302075793100
"""Sam @ QR-4gITocS"" raises to 52.52 and go all in",2022-01-24T10:39:16.659Z,164302075665900
"""Bennie @ 0M9SdU25_W"" folds",2022-01-24T10:39:12.281Z,164302075228100
"""#1 Zach @ vAnWuTY_FS"" folds",2022-01-24T10:39:11.455Z,164302075145501
"The admin ""Sam @ QR-4gITocS"" enqueued the removal of the player ""#1 Zach @ vAnWuTY_FS"".",2022-01-24T10:39:11.455Z,164302075145500
"""Rohan @ Q8ZCor2YJG"" folds",2022-01-24T10:39:04.663Z,164302074466301
"The admin ""Sam @ QR-4gITocS"" enqueued the removal of the player ""Rohan @ Q8ZCor2YJG"".",2022-01-24T10:39:04.663Z,164302074466300
"""Aidan @ Cjnby_nuhl"" raises to 41.50",2022-01-24T10:39:00.550Z,164302074055000
"""Jared @ h0BlfhuN9N"" folds",2022-01-24T10:38:56.430Z,164302073643001
"The admin ""Sam @ QR-4gITocS"" enqueued the removal of the player ""Jared @ h0BlfhuN9N"".",2022-01-24T10:38:56.430Z,164302073643000
"""aron @ XNSdXZIPm0"" raises to 20.85 and go all in",2022-01-24T10:38:47.720Z,164302072772000
"""Sam @ QR-4gITocS"" posts a big blind of 0.20",2022-01-24T10:34:39.640Z,164302047964010
"""Bennie @ 0M9SdU25_W"" posts a small blind of 0.10",2022-01-24T10:34:39.640Z,164302047964009
"Player stacks: #1 ""Aidan @ Cjnby_nuhl"" (52.52) | #3 ""Rohan @ Q8ZCor2YJG"" (10.88) | #4 ""#1 Zach @ vAnWuTY_FS"" (7.70) | #5 ""Bennie @ 0M9SdU25_W"" (64.43) | #6 ""Sam @ QR-4gITocS"" (110.12) | #8 ""aron @ XNSdXZIPm0"" (20.85) | #9 ""Jared @ h0BlfhuN9N"" (48.03)",2022-01-24T10:34:39.640Z,164302047964001
"-- starting hand #163  (No Limit Texas Hold'em) (dealer: ""#1 Zach @ vAnWuTY_FS"") --",2022-01-24T10:34:39.640Z,164302047964000
"-- ending hand #162 --",2022-01-24T10:34:36.638Z,164302047663802
"""aron @ XNSdXZIPm0"" collected 2.30 from pot",2022-01-24T10:34:36.638Z,164302047663801
"Uncalled bet of 1.50 returned to ""aron @ XNSdXZIPm0""",2022-01-24T10:34:36.638Z,164302047663800
"""Rohan @ Q8ZCor2YJG"" folds",2022-01-24T10:34:35.822Z,164302047582200
"""aron @ XNSdXZIPm0"" bets 1.50",2022-01-24T10:34:34.574Z,164302047457400
"Flop:  [A♥, 9♦, K♠]",2022-01-24T10:34:19.918Z,164302045991800
"""Bennie @ 0M9SdU25_W"" folds",2022-01-24T10:34:19.086Z,164302045908600
"""#1 Zach @ vAnWuTY_FS"" folds",2022-01-24T10:34:15.142Z,164302045514200
"""Rohan @ Q8ZCor2YJG"" calls 1.00",2022-01-24T10:34:14.223Z,164302045422300
"""Aidan @ Cjnby_nuhl"" folds",2022-01-24T10:34:12.500Z,164302045250000
"""Jared @ h0BlfhuN9N"" folds",2022-01-24T10:34:11.119Z,164302045111900
"""aron @ XNSdXZIPm0"" raises to 1.00",2022-01-24T10:34:10.179Z,164302045017900
"""Sam @ QR-4gITocS"" folds",2022-01-24T10:34:02.878Z,164302044287800
"""Bennie @ 0M9SdU25_W"" posts a big blind of 0.20",2022-01-24T10:34:00.698Z,164302044069810
"""#1 Zach @ vAnWuTY_FS"" posts a small blind of 0.10",2022-01-24T10:34:00.698Z,164302044069809
