entry,at,order
"The player ""Zach @ BBsZMWPFSI"" quits the game with a stack of 232.31.",2022-01-26T13:36:18.395Z,164320417839501
"The player ""Zach @ BBsZMWPFSI"" stand up with the stack of 232.31.",2022-01-26T13:36:18.395Z,164320417839500
"-- ending hand #243 --",2022-01-26T13:36:10.343Z,164320417034302
"""Matthew @ jY15iYWiO1"" collected 479.28 from pot with Two Pair, 9's & 2's on the second run  (combination: 9♠, 9♦, 2♠, 2♥, K♥)",2022-01-26T13:36:10.343Z,164320417034301
"""Matthew @ jY15iYWiO1"" collected 479.29 from pot with Two Pair, 9's & 3's (combination: 9♠, 9♣, 3♣, 3♦, J♠)",2022-01-26T13:36:10.343Z,164320417034300
"River (second run): 2♠, 2♥, 5♥, K♥ [9♦]",2022-01-26T13:36:06.339Z,164320416633900
"Turn (second run): 2♠, 2♥, 5♥ [K♥]",2022-01-26T13:36:02.274Z,164320416227400
"Flop (second run):  [2♠, 2♥, 5♥]",2022-01-26T13:35:58.136Z,164320415813600
"River: 9♣, 4♦, 8♦, J♠ [3♦]",2022-01-26T13:35:54.129Z,164320415412900
"Turn: 9♣, 4♦, 8♦ [J♠]",2022-01-26T13:35:50.126Z,164320415012600
"Flop:  [9♣, 4♦, 8♦]",2022-01-26T13:35:46.061Z,164320414606100
"""kobe @ dvavFrv8ZM"" shows a 8♠, 3♠.",2022-01-26T13:35:41.923Z,164320414192301
"""Matthew @ jY15iYWiO1"" shows a 9♠, 3♣.",2022-01-26T13:35:41.923Z,164320414192300
"All players in hand choose to run it twice.",2022-01-26T13:35:41.113Z,164320414111301
"""kobe @ dvavFrv8ZM"" chooses to  run it twice.",2022-01-26T13:35:41.113Z,164320414111300
"""Matthew @ jY15iYWiO1"" shows a 9♠, 3♣.",2022-01-26T13:35:39.819Z,164320413981900
"""Matthew @ jY15iYWiO1"" chooses to  run it twice.",2022-01-26T13:35:38.054Z,164320413805400
"Remaining players decide whether to run it twice.",2022-01-26T13:35:37.948Z,164320413794801
"""Matthew @ jY15iYWiO1"" calls 478.91 and go all in",2022-01-26T13:35:37.948Z,164320413794800
"""Henry @ lThNfQ1a9c"" folds",2022-01-26T13:35:36.991Z,164320413699100
"""Zach @ BBsZMWPFSI"" folds",2022-01-26T13:35:35.720Z,164320413572000
"""kobe @ dvavFrv8ZM"" raises to 478.91 and go all in",2022-01-26T13:35:34.913Z,164320413491300
"""GT3 @ 8BXBu1Krqt"" folds",2022-01-26T13:32:49.934Z,164320396993400
"""Matthew @ jY15iYWiO1"" posts a straddle of 1.00",2022-01-26T13:32:42.897Z,164320396289710
"""Henry @ lThNfQ1a9c"" posts a big blind of 0.50",2022-01-26T13:32:42.897Z,164320396289709
"""Zach @ BBsZMWPFSI"" posts a small blind of 0.25",2022-01-26T13:32:42.897Z,164320396289708
"Your hand is 2♣, 4♠",2022-01-26T13:32:42.897Z,164320396289706
"Player stacks: #1 ""Matthew @ jY15iYWiO1"" (478.91) | #3 ""GT3 @ 8BXBu1Krqt"" (140.47) | #5 ""kobe @ dvavFrv8ZM"" (750.00) | #9 ""Zach @ BBsZMWPFSI"" (232.56) | #10 ""Henry @ lThNfQ1a9c"" (418.19)",2022-01-26T13:32:42.897Z,164320396289702
"-- starting hand #243  (No Limit Texas Hold'em) (dealer: ""kobe @ dvavFrv8ZM"") --",2022-01-26T13:32:42.897Z,164320396289701
"The player ""Nate @ -Xs3B1ao3g"" stand up with the stack of 377.43.",2022-01-26T13:32:42.897Z,164320396289700
"Undealt cards: 5♦, 4♣, K♥, K♣ [5♥]",2022-01-26T13:32:38.143Z,164320395814300
"""Nate @ -Xs3B1ao3g"" shows a J♣, K♦.",2022-01-26T13:32:37.787Z,164320395778700
"-- ending hand #242 --",2022-01-26T13:32:36.152Z,164320395615202
"""Nate @ -Xs3B1ao3g"" collected 122.62 from pot",2022-01-26T13:32:36.152Z,164320395615201
"Uncalled bet of 53.69 returned to ""Nate @ -Xs3B1ao3g""",2022-01-26T13:32:36.152Z,164320395615200
"""kobe @ dvavFrv8ZM"" folds",2022-01-26T13:32:35.307Z,164320395530700
"""Nate @ -Xs3B1ao3g"" raises to 90.00",2022-01-26T13:31:41.396Z,164320390139600
"""kobe @ dvavFrv8ZM"" bets 36.31",2022-01-26T13:31:24.203Z,164320388420300
"Turn: 5♦, 4♣, K♥ [K♣]",2022-01-26T13:31:05.029Z,164320386502900
"""Matthew @ jY15iYWiO1"" folds",2022-01-26T13:31:04.214Z,164320386421400
"""Zach @ BBsZMWPFSI"" folds",2022-01-26T13:31:03.294Z,164320386329400
"""kobe @ dvavFrv8ZM"" calls 12.50",2022-01-26T13:30:57.098Z,164320385709800
"""Nate @ -Xs3B1ao3g"" bets 12.50",2022-01-26T13:30:46.832Z,164320384683200
"""Matthew @ jY15iYWiO1"" checks",2022-01-26T13:30:43.900Z,164320384390000
"""Henry @ lThNfQ1a9c"" folds",2022-01-26T13:30:42.903Z,164320384290300
"""Zach @ BBsZMWPFSI"" checks",2022-01-26T13:30:41.850Z,164320384185000
"""kobe @ dvavFrv8ZM"" checks",2022-01-26T13:30:36.983Z,164320383698300
"Flop:  [5♦, 4♣, K♥]",2022-01-26T13:30:35.003Z,164320383500300
"""Henry @ lThNfQ1a9c"" calls 5.00",2022-01-26T13:30:34.140Z,164320383414000
"""Zach @ BBsZMWPFSI"" calls 5.00",2022-01-26T13:30:32.408Z,164320383240800
"""kobe @ dvavFrv8ZM"" calls 5.00",2022-01-26T13:30:26.699Z,164320382669900
"""GT3 @ 8BXBu1Krqt"" folds",2022-01-26T13:30:25.751Z,164320382575100
"""Nate @ -Xs3B1ao3g"" calls 5.00",2022-01-26T13:30:22.718Z,164320382271800
"""Matthew @ jY15iYWiO1"" raises to 5.00",2022-01-26T13:30:21.450Z,164320382145000
"""Henry @ lThNfQ1a9c"" posts a straddle of 1.00",2022-01-26T13:30:16.583Z,164320381658310
"""Zach @ BBsZMWPFSI"" posts a big blind of 0.50",2022-01-26T13:30:16.583Z,164320381658309
"""kobe @ dvavFrv8ZM"" posts a small blind of 0.25",2022-01-26T13:30:16.583Z,164320381658308
"Your hand is 6♥, A♥",2022-01-26T13:30:16.583Z,164320381658306
"Player stacks: #1 ""Matthew @ jY15iYWiO1"" (483.91) | #2 ""Nate @ -Xs3B1ao3g"" (308.62) | #3 ""GT3 @ 8BXBu1Krqt"" (140.47) | #5 ""kobe @ dvavFrv8ZM"" (803.81) | #9 ""Zach @ BBsZMWPFSI"" (237.56) | #10 ""Henry @ lThNfQ1a9c"" (423.19)",2022-01-26T13:30:16.583Z,164320381658301
"-- starting hand #242  (No Limit Texas Hold'em) (dealer: ""GT3 @ 8BXBu1Krqt"") --",2022-01-26T13:30:16.583Z,164320381658300
"Undealt cards: 10♥, 4♦, 5♠ [5♥, A♦]",2022-01-26T13:30:12.711Z,164320381271100
"-- ending hand #241 --",2022-01-26T13:30:10.579Z,164320381057902
"""Matthew @ jY15iYWiO1"" collected 22.50 from pot",2022-01-26T13:30:10.579Z,164320381057901
"Uncalled bet of 8.00 returned to ""Matthew @ jY15iYWiO1""",2022-01-26T13:30:10.579Z,164320381057900
"""GT3 @ 8BXBu1Krqt"" folds",2022-01-26T13:30:09.769Z,164320380976900
"""Matthew @ jY15iYWiO1"" bets 8.00",2022-01-26T13:30:00.321Z,164320380032100
"""GT3 @ 8BXBu1Krqt"" checks",2022-01-26T13:29:55.204Z,164320379520400
"Flop:  [10♥, 4♦, 5♠]",2022-01-26T13:29:45.123Z,164320378512300
"""Zach @ BBsZMWPFSI"" folds",2022-01-26T13:29:44.296Z,164320378429600
"""kobe @ dvavFrv8ZM"" folds",2022-01-26T13:29:34.932Z,164320377493200
"""GT3 @ 8BXBu1Krqt"" calls 9.50",2022-01-26T13:29:24.210Z,164320376421000
"""Nate @ -Xs3B1ao3g"" folds",2022-01-26T13:29:23.229Z,164320376322900
"""Matthew @ jY15iYWiO1"" raises to 9.50",2022-01-26T13:29:21.448Z,164320376144800
"""Henry @ lThNfQ1a9c"" folds",2022-01-26T13:29:15.538Z,164320375553800
"""Zach @ BBsZMWPFSI"" raises to 3.00",2022-01-26T13:29:08.192Z,164320374819200
"""kobe @ dvavFrv8ZM"" posts a big blind of 0.50",2022-01-26T13:29:04.308Z,164320374430809
"""GT3 @ 8BXBu1Krqt"" posts a small blind of 0.25",2022-01-26T13:29:04.308Z,164320374430808
"Your hand is K♣, 3♣",2022-01-26T13:29:04.308Z,164320374430806
"Player stacks: #1 ""Matthew @ jY15iYWiO1"" (470.91) | #2 ""Nate @ -Xs3B1ao3g"" (308.62) | #3 ""GT3 @ 8BXBu1Krqt"" (149.97) | #5 ""kobe @ dvavFrv8ZM"" (804.31) | #9 ""Zach @ BBsZMWPFSI"" (240.56) | #10 ""Henry @ lThNfQ1a9c"" (423.19)",2022-01-26T13:29:04.308Z,164320374430801
"-- starting hand #241  (No Limit Texas Hold'em) (dealer: ""Nate @ -Xs3B1ao3g"") --",2022-01-26T13:29:04.308Z,164320374430800
"-- ending hand #240 --",2022-01-26T13:28:58.224Z,164320373822402
"""GT3 @ 8BXBu1Krqt"" collected 71.86 from pot with Pair, 9's (combination: 9♦, 9♥, A♦, Q♥, 5♠)",2022-01-26T13:28:58.224Z,164320373822401
"""GT3 @ 8BXBu1Krqt"" shows a 5♠, A♦.",2022-01-26T13:28:58.224Z,164320373822400
"""kobe @ dvavFrv8ZM"" checks",2022-01-26T13:28:57.387Z,164320373738700
"""GT3 @ 8BXBu1Krqt"" checks",2022-01-26T13:28:27.140Z,164320370714000
"River: 9♦, 2♠, 3♥, 9♥ [Q♥]",2022-01-26T13:28:23.000Z,164320370300000
"""GT3 @ 8BXBu1Krqt"" calls 25.00",2022-01-26T13:28:22.150Z,164320370215000
"""Matthew @ jY15iYWiO1"" folds",2022-01-26T13:28:02.628Z,164320368262800
"""kobe @ dvavFrv8ZM"" bets 25.00",2022-01-26T13:28:01.464Z,164320368146400
"""GT3 @ 8BXBu1Krqt"" checks",2022-01-26T13:27:42.377Z,164320366237700
"Turn: 9♦, 2♠, 3♥ [9♥]",2022-01-26T13:27:36.242Z,164320365624200
"""Zach @ BBsZMWPFSI"" folds",2022-01-26T13:27:35.408Z,164320365540800
"""kobe @ dvavFrv8ZM"" calls 4.37",2022-01-26T13:27:34.485Z,164320365448500
"""GT3 @ 8BXBu1Krqt"" calls 4.37",2022-01-26T13:27:32.874Z,164320365287400
"""Nate @ -Xs3B1ao3g"" folds",2022-01-26T13:27:25.260Z,164320364526000
"""Matthew @ jY15iYWiO1"" bets 4.37",2022-01-26T13:27:23.674Z,164320364367400
"""Zach @ BBsZMWPFSI"" checks",2022-01-26T13:27:18.295Z,164320363829500
"""kobe @ dvavFrv8ZM"" checks",2022-01-26T13:27:17.195Z,164320363719500
"""GT3 @ 8BXBu1Krqt"" checks",2022-01-26T13:27:16.227Z,164320363622700
"""Nate @ -Xs3B1ao3g"" checks",2022-01-26T13:27:12.345Z,164320363234500
"Flop:  [9♦, 2♠, 3♥]",2022-01-26T13:27:10.292Z,164320363029200
"""GT3 @ 8BXBu1Krqt"" calls 1.75",2022-01-26T13:27:09.393Z,164320362939300
"""Nate @ -Xs3B1ao3g"" calls 1.75",2022-01-26T13:27:08.406Z,164320362840600
"""Matthew @ jY15iYWiO1"" calls 1.75",2022-01-26T13:27:06.595Z,164320362659500
"""Henry @ lThNfQ1a9c"" folds",2022-01-26T13:27:04.120Z,164320362412000
"""Zach @ BBsZMWPFSI"" calls 1.75",2022-01-26T13:27:03.159Z,164320362315900
"""kobe @ dvavFrv8ZM"" raises to 1.75",2022-01-26T13:27:01.799Z,164320362179900
"""GT3 @ 8BXBu1Krqt"" posts a big blind of 0.50",2022-01-26T13:26:57.903Z,164320361790309
"""Nate @ -Xs3B1ao3g"" posts a small blind of 0.25",2022-01-26T13:26:57.903Z,164320361790308
"Your hand is Q♠, 7♠",2022-01-26T13:26:57.903Z,164320361790306
"Player stacks: #1 ""Matthew @ jY15iYWiO1"" (477.03) | #2 ""Nate @ -Xs3B1ao3g"" (310.37) | #3 ""GT3 @ 8BXBu1Krqt"" (109.23) | #5 ""kobe @ dvavFrv8ZM"" (835.43) | #9 ""Zach @ BBsZMWPFSI"" (242.31) | #10 ""Henry @ lThNfQ1a9c"" (423.19)",2022-01-26T13:26:57.903Z,164320361790301
"-- starting hand #240  (No Limit Texas Hold'em) (dealer: ""Matthew @ jY15iYWiO1"") --",2022-01-26T13:26:57.903Z,164320361790300
"-- ending hand #239 --",2022-01-26T13:26:51.824Z,164320361182402
"""Matthew @ jY15iYWiO1"" collected 12.00 from pot with Pair, Q's (combination: Q♣, Q♥, A♣, K♠, 9♠)",2022-01-26T13:26:51.824Z,164320361182401
"""Matthew @ jY15iYWiO1"" shows a Q♣, 7♥.",2022-01-26T13:26:51.824Z,164320361182400
"""Nate @ -Xs3B1ao3g"" calls 4.00",2022-01-26T13:26:50.964Z,164320361096400
"""Matthew @ jY15iYWiO1"" bets 4.00",2022-01-26T13:26:49.391Z,164320360939100
"River: 9♠, 4♠, Q♥, K♠ [A♣]",2022-01-26T13:26:43.215Z,164320360321500
"""Nate @ -Xs3B1ao3g"" checks",2022-01-26T13:26:42.284Z,164320360228400
"""Matthew @ jY15iYWiO1"" checks",2022-01-26T13:26:39.760Z,164320359976000
"Turn: 9♠, 4♠, Q♥ [K♠]",2022-01-26T13:26:36.686Z,164320359668600
